,Names,Values
528,pantel,25
529,andrea,45
530,bonari,17
531,pittet,2
532,pompidou,6
533,fauci,34
534,clinton,26
535,benraad,45
536,koufa,57
537,dicko,23
538,rottner,12
539,mouline,30
540,limonov,9
541,tauzin,16
542,coldefy,18
543,netanyahou,34
544,pecresse,142
545,hazan,20
546,bouillon,30
547,xinmin,8
548,avigan,23
549,verhaeghe,12
550,dalmasso,22
551,galiegue,3
552,lisnard,26
553,vignaud,10
554,folliot,8
555,juppe,15
556,taddeo,37
557,jarkov,11
558,malbrunot,35
559,ouyahia,14
560,bouteflika,223
561,sellal,58
562,abdelmalek,3
563,djabi,28
564,mezoui,17
565,leopoldine,7
566,preynat,13
567,cautres,4
568,mmehenni,20
569,abderrahim,48
570,griveaux,176
571,saintclair,2
572,draghi,18
573,snowden,56
574,lachaud,34
575,laurent,47
576,nordine,13
577,nabilla,85
578,michoustine,4
579,senegalais,6
580,fcfa,5
581,cirelli,20
582,sapir,101
583,roosevelt,2
584,lenclos,6
585,quidet,4
586,vayssouzefaure,2
587,gregoire,15
588,chretiendroz,2
589,lavrentieva,4
590,petrouchina,4
591,nogaret,5
592,bardella,121
593,henninger,3
594,battistoni,9
595,rajoelina,15
596,malgache,9
597,artemisia,6
598,munyangi,12
599,dybov,40
600,vlassov,2
601,kazaryan,2
602,krishnan,2
603,maloufi,8
604,takam,23
605,bolsonaro,104
606,kawasaki,41
607,elalamy,12
608,freddie,2
609,gbagbo,119
610,pham,2
611,kahia,63
612,krampkarrenbauer,13
613,woerth,2
614,stano,52
615,mbayrou,46
616,gandilhon,3
617,alsalbi,4
618,albaghdadi,17
619,barbe,23
620,maffesoli,8
621,wolf,29
622,mignola,6
623,ramaux,23
624,brousseau,85
625,belhimer,6
626,khamenei,8
627,hopitaux,2
628,michelpaulsen,3
629,flamand,2
630,dessard,2
631,barraud,36
632,metaireau,2
633,cybereason,2
634,colombi,42
635,voitellier,2
636,desesquelles,3
637,cauchemez,6
638,adesina,6
639,nkodia,3
640,camerounais,10
641,guilhou,14
642,modzom,2
643,steve,33
644,lecuyer,5
645,paradis,14
646,claverie,8
647,robinet,27
648,raimbaud,20
649,chemla,11
650,powell,6
651,marchais,6
652,georgieva,13
653,letta,22
654,affoh,8
655,lamamra,28
656,aksoy,8
657,denece,51
658,balafrej,2
659,petiteau,16
660,lhermitte,2
661,gatewood,2
662,pradel,24
663,bellver,11
664,chauvet,64
665,notredame,45
666,anthony,3
667,delfraissy,40
668,pleyers,2
669,gabsi,4
670,locht,21
671,benbouzid,8
672,tchamen,9
673,grandjean,14
674,mathieu,77
675,cohnbendit,7
676,gonzalez,20
677,fischer,34
678,gabriel,4
679,houpert,11
680,sougou,20
681,asutic,2
682,gossoumian,2
683,ngute,30
684,bumakor,3
685,essi,14
686,osiris,7
687,swift,4
688,baudino,2
689,bright,7
690,fonlladosa,2
691,kosov,22
692,ivkine,39
693,rachid,23
694,abofanas,4
695,quesada,4
696,taquet,20
697,mathilde,4
698,traore,249
699,goossens,6
700,emmanuelle,18
701,tahhan,6
702,dussopt,19
