,Names,Values
519,blet,20
520,goldschmidt,2
521,benioff,2
522,wittenberg,5
523,schmitt,5
524,blachier,11
525,barbara,17
526,lellouche,14
527,pandemie,4
528,stone,6
529,belkacem,6
530,guilluy,9
531,prophete,4
532,fourniret,18
533,barseghian,2
534,notredame,39
535,assange,11
536,chomsky,2
537,tebboune,2
538,duclert,15
539,habyarimana,8
540,hutu,7
541,pyatt,6
542,lugan,21
543,seydi,11
544,sojli,14
545,bocuse,21
546,michelin,7
547,darc,10
548,fristot,12
549,unplanned,3
550,terrasse,2
551,houlie,11
552,marenches,2
553,brzezinski,4
554,brague,13
555,markus,15
556,harendt,4
557,marschall,34
558,cauchy,2
559,brasillach,2
560,langagne,3
561,jeanmimi,2
562,voltaire,17
563,robespierre,4
564,taubira,21
565,dengvaxia,2
566,sandrine,9
567,august,9
568,martichoux,2
569,nasr,2
570,reichstadt,9
571,neolibs,2
572,obrador,5
573,fabius,7
574,gos,31
575,lajoye,4
576,bekwa,8
577,mandembo,5
578,pompidou,3
579,foucault,8
580,adenauer,2
581,podhoretz,2
582,hissene,2
583,casasnovas,27
584,fleury,9
585,cynthia,2
586,perronne,26
587,auzeville,3
588,ikor,3
589,claire,9
590,cesbron,2
591,hirigoyen,3
592,usul,22
593,calvi,23
594,reddy,3
595,ngannou,2
596,schnell,2
597,migeon,5
598,jeanalbert,2
599,medecin,2
600,lemoine,18
601,saintmartin,2
602,mathilde,3
603,dutroux,12
604,dupondmoretti,25
605,hallyday,4
606,andruet,4
607,boukobza,2
608,demules,3
609,polanski,15
610,ferrari,4
611,khmelnitski,5
612,chevchenko,4
613,skoropadsky,2
614,petlioura,2
615,ducournau,7
616,segers,11
617,charon,28
618,macherel,3
619,grumbach,2
620,gurfinkiel,4
621,estrosi,22
622,alaphilippe,5
623,conrad,25
624,barkhane,17
625,wagner,15
626,kepel,7
627,kieny,16
628,escada,4
629,lilti,11
630,despentes,3
631,belmondo,9
632,jeanpaul,2
633,pasteur,10
634,peretti,4
635,gerbi,15
636,sackler,20
637,mortimer,3
638,ciotti,9
639,meyer,17
640,pigasse,4
641,executif,2
642,cossette,10
643,levasseur,4
644,lafleche,2
645,larocque,4
646,obomsawin,4
647,regnier,5
648,hurtubise,2
649,baillargeon,3
650,ritchot,2
651,pouliotthisdale,2
652,abrini,2
653,polony,8
654,damien,24
655,sharp,2
656,rodrigues,17
657,officiel,4
658,afoua,7
659,simentov,3
660,saleh,6
661,massoud,6
662,unz,19
663,abdeslam,8
664,elassad,7
665,soleimani,9
666,mikati,4
667,arthur,13
668,florentin,2
669,scholz,6
670,ganserer,2
671,bockcote,2
672,staline,96
673,collin,2
674,klaus,7
675,begaudeau,6
676,seligman,4
677,beauvau,7
678,rumsfeld,10
679,chabriere,2
680,guillaume,18
681,truchot,2
682,chertok,3
683,jacquadit,5
684,templier,2
685,frederic,8
686,jeanluc,13
687,guludec,2
688,nietzsche,17
689,delhostal,2
690,kluivert,2
691,herrou,6
692,kalayci,2
693,pulvar,14
694,mccammond,3
695,tavernier,14
696,erner,22
697,melville,4
698,kubrick,4
699,bahloul,2
