,Names,Values
503,panagiotopoulos,2
504,cavusoglu,6
505,blinken,22
506,enterprises,2
507,khatibzadeh,20
508,dupret,6
509,leyen,6
510,ardern,3
511,bagheri,8
512,aurora,2
513,alarda,2
514,lumiere,3
515,saintmartin,2
516,pannierrunacher,2
517,rabault,3
518,woerth,3
519,gerhartz,2
520,guerir,2
521,thomasgreenfield,2
522,staff,2
523,sawadogo,2
524,saheliens,2
525,abdollahian,2
526,malcolm,2
527,beaune,4
528,morrison,4
529,petronin,2
530,mokpeme,2
531,allah,8
532,loukachenko,17
533,jackson,5
534,draghi,2
535,jennings,2
536,rochatte,2
537,montebourg,16
538,green,11
539,turmes,2
540,kafando,3
541,compaore,6
542,mitterrand,3
543,baipo,2
544,rayeesi,2
545,krampkarrenbauer,5
546,faki,5
547,lacoste,2
548,tribouts,2
549,burevestnik,5
550,aliev,8
551,vilmer,3
552,doumbouya,9
553,alwalid,2
554,revel,2
555,panteleev,2
556,tsydenjapov,2
557,lijian,6
558,schroder,2
559,demir,2
560,achieng,3
561,hoibian,2
562,lamamra,9
563,olivier,4
564,haynes,2
565,rambourg,3
566,richard,3
567,shaye,2
568,assomo,5
569,bontinck,2
570,djadjidja,2
571,numbi,3
572,anticovid,2
573,zhengfei,3
574,kareem,2
575,kishi,2
576,borrell,14
577,diabre,4
578,boniface,6
579,gharibabadi,6
580,abdoulaye,3
581,stora,2
582,andersen,3
583,perrin,20
584,rosenfeld,4
585,tchagba,2
586,trappier,2
587,cavoli,2
588,desjardins,2
589,kordahi,2
590,rafanoharana,3
591,francois,2
592,francais,4
593,burns,10
594,chesnais,5
595,boughali,2
596,boudjemaa,2
597,dvory,4
598,kaczynski,4
599,vicepremier,2
600,trudeau,6
601,lohwasser,2
602,annalena,2
603,ouchakov,2
604,kogalniceanu,3
605,denard,5
606,sidaoui,7
607,lambrecht,2
608,hoffmann,2
609,pecresse,2
610,grouchko,3
611,dortiguier,22
612,mikati,3
613,niemoller,3
614,wellington,2
615,redwan,2
616,citrinowicz,5
617,boric,4
618,gavrilov,2
619,gilpin,2
620,diallo,17
621,dhabi,2
622,ekenge,2
623,montfortains,2
624,tingley,2
625,asael,2
626,xiaoping,2
627,jupiter,8
628,guillainbarre,2
629,street,2
630,salvetti,2
631,valouiev,2
632,griffiths,2
633,angolais,2
634,ukonga,2
635,fakhra,2
636,golts,2
637,rovera,3
638,phoenix,4
639,germinal,2
640,magufuli,4
641,peyrefitte,2
642,kennedy,2
643,reznikov,2
644,szijjarto,3
645,antipas,2
646,lagneau,2
647,ebrard,2
648,thiessen,3
649,achoura,2
650,khordad,2
651,girardin,3
652,bronner,2
653,loiseau,4
654,danjean,2
655,fillon,11
656,renouard,3
657,willis,3
658,fakhrizadeh,8
659,badjeck,2
660,centrafricain,2
661,museveni,6
662,jabarov,2
663,gimenez,2
664,mitsotakis,2
665,berezovsky,3
666,argaman,2
667,milley,2
668,gerasimov,2
669,estrosi,3
670,lansana,3
671,beauvau,5
672,yatom,3
673,alsahraoui,6
674,hockenhull,2
675,nordgold,3
676,achille,2
677,vauban,3
678,sepahvand,2
679,verbonol,2
680,diagana,2
681,sokoltchouk,2
682,bertrand,2
683,iskander,3
684,delek,3
685,chertok,3
686,vinci,2
687,oumarou,2
688,fabrebernadac,2
689,saviz,2
690,doorman,2
691,shoukry,2
692,ndiaye,2
693,bezan,2
694,asselin,2
695,kostenko,2
696,sedal,4
697,danilov,4
698,norkim,2
699,strijev,3
700,hirak,6
701,boukadoum,4
702,moubamba,2
703,hurmic,2
704,meguett,2
705,zuckerberg,2
706,ekoumou,2
707,prophete,5
708,deliveroo,2
709,shifter,2
710,durmaz,2
711,defourny,2
712,mautu,2
713,kamalvandi,2
714,mugabe,4
715,brown,4
716,berhanu,2
717,clinton,2
718,aldayer,2
719,qalibaf,2
720,franks,2
721,attanasio,2
722,mountakha,2
723,mbacke,2
724,galilee,2
725,ocelot,2
726,hagelin,11
727,friedman,2
728,coons,2
729,titorenko,2
730,huitfeldt,5
731,golfiens,2
732,dassault,2
733,agenor,3
734,combilift,2
735,silva,2
736,kharchenko,2
737,nowruz,5
738,villiers,2
739,lallement,2
740,loudiyi,3
741,alrumaithi,3
742,bogdanov,2
743,yadlin,5
744,lenglet,2
745,bakkoury,2
746,fayette,4
747,koussey,2
748,jamaran,2
749,chelanou,2
750,keffieh,2
751,crozier,2
752,jahanpour,2
753,tchadien,4
754,simeoni,2
755,muyembe,2
756,wolters,2
757,parsons,3
758,pradel,2
759,ndomate,2
760,faidherbe,2
761,floyd,9
762,proiran,2
763,mirkovic,2
764,djotodia,5
765,pellistrandi,2
766,droukdel,2
767,arreaza,4
768,bayala,4
769,grosverheyde,2
770,nguema,4
771,alawsat,2
772,almachat,2
773,schauble,3
774,alghanami,2
775,vzglyad,2
776,hamrouni,6
777,obrien,2
778,leonardo,2
779,yungao,2
780,balhaf,2
781,stockli,2
782,bassil,2
783,ndabirabe,2
784,hankins,2
785,kadyrov,2
786,paraguana,2
787,kenyan,2
788,kenyatta,2
789,dupondmoretti,2
790,dupontmoretti,2
791,ciotti,2
792,orounla,4
793,schenker,4
794,oktay,2
795,moussaadamo,3
796,charpentier,2
797,alhosseini,2
798,harirtchi,2
799,delfraissy,2
800,nejad,4
801,mokdad,3
802,delors,2
803,vizy,4
804,tshiekedikabila,2
805,marechal,2
806,goldenberg,3
807,muharram,4
808,camatte,2
809,reis,7
810,zasypkin,2
811,escobar,2
812,grom,2
813,issongo,2
814,ashkenazi,2
815,massassa,2
816,qandil,2
817,papandreou,2
818,nichols,2
819,bricmont,2
820,ditengou,3
821,chibani,2
822,fuchs,2
823,mcallen,2
824,bauchard,2
825,yehia,2
826,mandela,2
827,kahimbi,6
828,bondarev,2
829,petsas,2
830,ruyter,4
831,forbin,3
832,saeroun,3
833,kurdi,3
834,sinohydro,4
835,yevmenov,2
836,kazemi,2
837,bigot,4
838,gemfields,2
839,migvan,2
840,huberson,4
841,bartagi,2
842,zolnouri,2
843,komayou,3
844,rawlings,2
845,rudenko,2
846,meglio,2
847,rudaki,3
848,alrabii,2
849,lavigne,2
850,fauvergue,2
851,kobine,4
852,abdelmalek,2
853,vandendyck,2
854,axios,2
855,flournoy,2
856,qods,4
857,cornut,2
858,sankei,2
859,bayramov,2
860,fourtillan,2
861,gleicher,2
