,Names,Values
511,photo,2
512,ilitchev,3
513,khouma,5
514,bouhafs,3
515,raoult,4
516,zetchi,2
517,ouaddou,9
518,belmadi,2
519,souleymane,2
520,moderan,4
521,bangou,2
522,zaroumadareye,2
523,mili,2
524,ahouansou,3
525,boudalia,7
526,einstein,3
527,curie,2
528,kirby,2
529,roland,3
530,djemal,3
531,bouamama,2
532,abdelaziz,2
