	roch kabore	alassane ouattara	emmanuel macron	linda kebbab	michael shurkin	barkhane	lelievre	alain barriere	nick conrad	pierre soulages	claudine	macron	nicolas sarkozy	alain soral	francois hollande	vladimir poutine	xi jinping	manuel valls	donald trump	trump	erdogan	president	dan fodio	seku ahmadou	el hadj omar	pelloux	guillaume bigot	abou bakr albaghdadi	washington	edouard philippe	lassana bathily	amedy coulibaly	coulibaly	president de la republique	hacene kacimi	laurent foucher	claude gueant	noor capital	olivier couriol	mitterrand	foucher	jeanluc schaffhauser	roland dumas	raymond cartier	bernard lugan	alqaeda	taha bouhafs	charles michel	jacques attali	ibrahim boubacar keita	premier ministre	boubou cisse	iyad ag ghali	mahmoud dicko	arie alimi	adama traore	assa traore	adnane abou walid alsaharaoui	amadou koufa	abdelmalek droukdal	eric zemmour	george floyd	president trump	simon louvet	thomas joly	abdelmalek	youcef brakni	houria bouteldja	oussama atar	hippolyte flandrin	abubakar shekau	muhammadu buhari	nicolas lerner	djamel beghal	general lecointre	hamane niang	francoisbernard huyghe	jeanluc melenchon	cesars	gisele halimi	benjamin stora	vincent dautry	francis	meyer habib	kobili traore	anne ihuellou	georges fenech	hermine de clermonttonnerre	mark zuckerberg	ba ag moussa	choguel maiga	sebastien thoen	richard berry	pascale louange	alexandre kouchner	mouammar kadhafi	patrick mbeko	victoria nuland	m ryabkov	mme nuland	administratsiya prezidenta	steve bannon	david cameron	choguel kokalla maiga	reportnews	charlie wyke	matt le tissier	trevor sinclair	john fleck	m sinclair	carl ikeme	adham al seldhar	romina de angelis	lara gut behrami	dave draper	siobhan cattigan	fatimah shabazz	darvin henderson	tony ayres	pasierbski	kenny liveze	paul dimattina	leon taylor	terrafirma	cristian sportolloni	rene richard	cameron indoor	jordan bardella	paul bensussan	monsieur traore	daniel zagury	idriss deby itno	azem bermandoa agouna	mahamat idriss deby itno
pascale louange	1	1	2	1	1	37	24	1	1	1	5	19	3	1	1	2	1	1	5	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	2	1	1	1	3	2	2	1	1	1	2	1	4	1	2	9	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	5	5	0	5	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
alexandre kouchner	1	1	2	1	1	37	24	1	1	1	5	19	3	1	1	2	1	1	5	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	2	1	1	1	3	2	2	1	1	1	2	1	4	1	2	9	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	5	5	5	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
mouammar kadhafi	1	1	2	1	1	42	21	1	1	1	5	21	5	1	1	3	1	1	3	2	0	6	1	1	1	0	1	1	3	1	1	2	0	2	4	1	1	1	1	4	2	1	1	1	3	2	2	1	1	1	2	1	4	1	2	8	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	3	2	2	2	2	2	2	0	4	3	0	2	3	3	3	3	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
patrick mbeko	1	1	2	1	1	42	21	1	1	1	5	21	5	1	1	3	1	1	3	2	0	6	1	1	1	0	1	1	3	1	1	2	0	2	4	1	1	1	1	4	2	1	1	1	3	2	2	1	1	1	2	1	4	1	2	8	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	3	2	2	2	2	2	2	4	0	3	0	2	3	3	3	3	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
victoria nuland	1	1	2	1	1	45	21	1	1	1	5	25	4	1	1	3	1	1	3	2	0	6	1	1	1	0	1	1	3	1	1	2	0	2	4	1	1	1	1	6	2	1	1	1	3	2	2	1	1	1	2	1	4	1	2	8	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	3	2	2	2	2	2	2	3	3	0	0	2	5	3	3	3	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
m ryabkov	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
mme nuland	1	1	2	1	1	41	23	1	1	1	5	21	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	3	1	1	1	3	3	2	1	1	1	2	1	6	1	2	11	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	0	2	2	2	2	4	4	4	4	4	0	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	0	2	4	2	2
administratsiya prezidenta	1	1	2	1	1	45	21	1	1	1	5	25	4	1	1	3	1	1	3	2	0	6	1	1	1	0	1	1	3	1	1	2	0	2	4	1	1	1	1	6	2	1	1	1	3	2	2	1	1	1	2	1	4	1	2	8	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	3	2	2	2	2	2	2	3	3	5	0	2	0	3	3	3	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
steve bannon	1	1	2	1	1	43	21	1	1	1	5	21	4	1	1	3	1	1	5	2	0	6	1	1	1	0	1	1	3	1	1	2	0	2	4	1	1	1	1	4	2	1	1	1	3	2	2	1	1	1	2	1	4	1	2	8	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	5	2	2	2	2	2	2	3	3	3	0	2	3	0	5	3	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
david cameron	1	1	2	1	1	43	21	1	1	1	5	21	4	1	1	3	1	1	5	2	0	6	1	1	1	0	1	1	3	1	1	2	0	2	4	1	1	1	1	4	2	1	1	1	3	2	2	1	1	1	2	1	4	1	2	8	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	5	2	2	2	2	2	2	3	3	3	0	2	3	5	0	3	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
choguel kokalla maiga	1	1	2	1	1	43	21	1	1	1	5	21	4	1	1	5	1	1	3	2	0	8	1	1	1	0	1	1	5	1	1	2	0	2	4	1	1	1	1	4	2	1	1	1	3	2	2	1	1	1	2	1	4	1	2	8	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	3	2	2	2	2	2	2	3	3	3	0	2	3	3	3	0	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	2	4	2	2
reportnews	1	1	2	1	1	41	23	1	1	1	5	21	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	3	1	1	1	3	3	2	1	1	1	2	1	6	1	2	11	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	4	2	2	2	2	0	4	4	4	4	0	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	0	2	4	2	2
charlie wyke	1	1	2	1	1	41	23	1	1	1	5	21	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	3	1	1	1	3	3	2	1	1	1	2	1	6	1	2	11	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	4	2	2	2	2	4	0	4	4	4	0	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	0	2	4	2	2
matt le tissier	1	1	2	1	1	41	23	1	1	1	5	21	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	3	1	1	1	3	3	2	1	1	1	2	1	6	1	2	11	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	4	2	2	2	2	4	4	0	4	4	0	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	0	2	4	2	2
trevor sinclair	1	1	2	1	1	43	25	1	1	1	5	21	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	5	1	1	1	3	5	2	1	1	1	2	1	6	1	2	13	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	4	2	2	2	2	4	4	4	0	6	0	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	2	0	2	4	2	2
john fleck	1	1	2	1	1	43	25	1	1	1	5	21	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	5	1	1	1	3	5	2	1	1	1	2	1	6	1	2	13	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	4	2	2	2	2	4	4	4	6	0	0	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	2	0	2	4	2	2
m sinclair	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
carl ikeme	1	1	2	1	1	41	23	1	1	1	5	21	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	3	1	1	1	3	3	2	1	1	1	2	1	6	1	2	11	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	4	2	2	2	2	4	4	4	4	4	0	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	0	2	4	2	2
adham al seldhar	1	1	2	1	1	41	24	1	1	1	5	20	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	5	1	1	1	3	5	2	1	1	1	2	1	5	1	2	12	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	3	2	2	2	2	3	3	3	5	5	0	3	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	2	0	2	4	2	2
romina de angelis	1	1	2	1	1	41	24	1	1	1	5	20	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	5	1	1	1	3	5	2	1	1	1	2	1	5	1	2	12	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	3	2	2	2	2	3	3	3	5	5	0	3	5	0	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	2	0	2	4	2	2
lara gut behrami	1	1	2	1	1	41	24	1	1	1	5	20	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	5	1	1	1	3	5	2	1	1	1	2	1	5	1	2	12	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	3	2	2	2	2	3	3	3	5	5	0	3	5	5	0	5	5	5	5	5	5	5	5	5	5	5	5	5	2	2	0	2	4	2	2
dave draper	1	1	2	1	1	41	24	1	1	1	5	20	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	5	1	1	1	3	5	2	1	1	1	2	1	5	1	2	12	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	3	2	2	2	2	3	3	3	5	5	0	3	5	5	5	0	5	5	5	5	5	5	5	5	5	5	5	5	2	2	0	2	4	2	2
siobhan cattigan	1	1	2	1	1	41	24	1	1	1	5	20	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	5	1	1	1	3	5	2	1	1	1	2	1	5	1	2	12	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	3	2	2	2	2	3	3	3	5	5	0	3	5	5	5	5	0	5	5	5	5	5	5	5	5	5	5	5	2	2	0	2	4	2	2
fatimah shabazz	1	1	2	1	1	41	24	1	1	1	5	20	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	5	1	1	1	3	5	2	1	1	1	2	1	5	1	2	12	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	3	2	2	2	2	3	3	3	5	5	0	3	5	5	5	5	5	0	5	5	5	5	5	5	5	5	5	5	2	2	0	2	4	2	2
darvin henderson	1	1	2	1	1	41	24	1	1	1	5	20	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	5	1	1	1	3	5	2	1	1	1	2	1	5	1	2	12	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	3	2	2	2	2	3	3	3	5	5	0	3	5	5	5	5	5	5	0	5	5	5	5	5	5	5	5	5	2	2	0	2	4	2	2
tony ayres	1	1	2	1	1	41	24	1	1	1	5	20	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	5	1	1	1	3	5	2	1	1	1	2	1	5	1	2	12	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	3	2	2	2	2	3	3	3	5	5	0	3	5	5	5	5	5	5	5	0	5	5	5	5	5	5	5	5	2	2	0	2	4	2	2
pasierbski	1	1	2	1	1	41	24	1	1	1	5	20	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	5	1	1	1	3	5	2	1	1	1	2	1	5	1	2	12	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	3	2	2	2	2	3	3	3	5	5	0	3	5	5	5	5	5	5	5	5	0	5	5	5	5	5	5	5	2	2	0	2	4	2	2
kenny liveze	1	1	2	1	1	41	24	1	1	1	5	20	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	5	1	1	1	3	5	2	1	1	1	2	1	5	1	2	12	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	3	2	2	2	2	3	3	3	5	5	0	3	5	5	5	5	5	5	5	5	5	0	5	5	5	5	5	5	2	2	0	2	4	2	2
paul dimattina	1	1	2	1	1	41	24	1	1	1	5	20	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	5	1	1	1	3	5	2	1	1	1	2	1	5	1	2	12	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	3	2	2	2	2	3	3	3	5	5	0	3	5	5	5	5	5	5	5	5	5	5	0	5	5	5	5	5	2	2	0	2	4	2	2
leon taylor	1	1	2	1	1	41	24	1	1	1	5	20	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	5	1	1	1	3	5	2	1	1	1	2	1	5	1	2	12	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	3	2	2	2	2	3	3	3	5	5	0	3	5	5	5	5	5	5	5	5	5	5	5	0	5	5	5	5	2	2	0	2	4	2	2
terrafirma	1	1	2	1	1	41	24	1	1	1	5	20	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	5	1	1	1	3	5	2	1	1	1	2	1	5	1	2	12	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	3	2	2	2	2	3	3	3	5	5	0	3	5	5	5	5	5	5	5	5	5	5	5	5	0	5	5	5	2	2	0	2	4	2	2
cristian sportolloni	1	1	2	1	1	41	24	1	1	1	5	20	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	5	1	1	1	3	5	2	1	1	1	2	1	5	1	2	12	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	3	2	2	2	2	3	3	3	5	5	0	3	5	5	5	5	5	5	5	5	5	5	5	5	5	0	5	5	2	2	0	2	4	2	2
rene richard	1	1	2	1	1	41	24	1	1	1	5	20	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	5	1	1	1	3	5	2	1	1	1	2	1	5	1	2	12	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	3	2	2	2	2	3	3	3	5	5	0	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0	5	2	2	0	2	4	2	2
cameron indoor	1	1	2	1	1	41	24	1	1	1	5	20	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	5	1	1	1	3	5	2	1	1	1	2	1	5	1	2	12	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	3	2	2	2	2	3	3	3	5	5	0	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	0	2	2	0	2	4	2	2
jordan bardella	1	1	2	1	1	40	23	1	1	1	5	20	3	1	1	2	1	1	2	2	0	6	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	2	1	1	1	4	2	2	1	1	1	2	1	4	1	5	11	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	3	3	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	3	0	3	6	3	3
paul bensussan	1	1	2	1	1	42	25	1	1	1	5	20	3	1	1	2	1	1	2	2	0	6	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	2	1	1	1	4	2	2	1	1	1	2	1	4	1	5	11	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	5	5	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	0	0	5	6	3	3
monsieur traore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
daniel zagury	1	1	2	1	1	42	25	1	1	1	5	20	3	1	1	2	1	1	2	2	0	6	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	2	1	1	1	4	2	2	1	1	1	2	1	4	1	5	11	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	5	5	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	5	0	0	6	3	3
idriss deby itno	2	2	4	2	2	76	46	2	2	2	10	44	6	2	2	4	2	2	4	4	0	16	2	2	2	0	2	2	4	2	2	4	0	4	8	2	2	2	2	6	4	2	2	2	12	4	4	2	2	2	4	2	8	2	6	18	0	2	2	4	2	8	0	2	2	2	4	2	2	2	2	2	0	2	4	4	4	4	0	0	4	4	0	6	6	4	0	4	4	4	4	4	4	4	4	4	4	4	0	4	4	4	4	4	4	4	4	4	4	0	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	6	6	0	6	10	10	10
azem bermandoa agouna	1	1	2	1	1	38	23	1	1	1	5	22	3	1	1	2	1	1	2	2	0	8	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	2	1	1	1	6	2	2	1	1	1	2	1	4	1	3	9	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	3	3	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	0	3	10	0	5
mahamat idriss deby itno	1	1	2	1	1	38	23	1	1	1	5	22	3	1	1	2	1	1	2	2	0	8	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	2	1	1	1	6	2	2	1	1	1	2	1	4	1	3	9	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	3	3	2	0	2	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	0	3	10	5	0
