	roch kabore	alassane ouattara	emmanuel macron	linda kebbab	michael shurkin	barkhane	lelievre	alain barriere	nick conrad	pierre soulages	claudine	macron	nicolas sarkozy	alain soral	francois hollande	vladimir poutine	xi jinping	manuel valls	donald trump	trump	erdogan	president	dan fodio	seku ahmadou	el hadj omar	pelloux	guillaume bigot	abou bakr albaghdadi	washington	edouard philippe	lassana bathily	amedy coulibaly	coulibaly	president de la republique	hacene kacimi	laurent foucher	claude gueant	noor capital	olivier couriol	mitterrand	foucher	jeanluc schaffhauser	roland dumas	raymond cartier	bernard lugan	alqaeda	taha bouhafs	charles michel	jacques attali	ibrahim boubacar keita	premier ministre	boubou cisse	iyad ag ghali	mahmoud dicko	arie alimi	adama traore	assa traore	adnane abou walid alsaharaoui	amadou koufa	abdelmalek droukdal	eric zemmour	george floyd	president trump	simon louvet	thomas joly	abdelmalek	youcef brakni	houria bouteldja	oussama atar	hippolyte flandrin	abubakar shekau	muhammadu buhari	nicolas lerner	djamel beghal	general lecointre	hamane niang	francoisbernard huyghe	jeanluc melenchon	cesars	gisele halimi	benjamin stora	vincent dautry	francis	meyer habib	kobili traore	anne ihuellou	georges fenech	hermine de clermonttonnerre	mark zuckerberg	ba ag moussa	choguel maiga	sebastien thoen	richard berry	pascale louange	alexandre kouchner	mouammar kadhafi	patrick mbeko	victoria nuland	m ryabkov	mme nuland	administratsiya prezidenta	steve bannon	david cameron	choguel kokalla maiga	reportnews	charlie wyke	matt le tissier	trevor sinclair	john fleck	m sinclair	carl ikeme	adham al seldhar	romina de angelis	lara gut behrami	dave draper	siobhan cattigan	fatimah shabazz	darvin henderson	tony ayres	pasierbski	kenny liveze	paul dimattina	leon taylor	terrafirma	cristian sportolloni	rene richard	cameron indoor	jordan bardella	paul bensussan	monsieur traore	daniel zagury	idriss deby itno	azem bermandoa agouna	mahamat idriss deby itno
claude gueant	2	2	2	2	2	33	16	2	2	2	5	21	3	2	2	2	2	2	2	1	0	4	2	2	2	0	2	2	2	2	2	4	0	2	4	5	0	5	5	6	1	5	5	1	2	1	1	1	1	1	1	1	2	1	1	4	0	1	1	1	1	3	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
noor capital	2	2	2	2	2	33	16	2	2	2	5	21	3	2	2	2	2	2	2	1	0	4	2	2	2	0	2	2	2	2	2	4	0	2	4	5	5	0	5	6	1	5	5	1	2	1	1	1	1	1	1	1	2	1	1	4	0	1	1	1	1	3	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
olivier couriol	2	2	2	2	2	33	16	2	2	2	5	21	3	2	2	2	2	2	2	1	0	4	2	2	2	0	2	2	2	2	2	4	0	2	4	5	5	5	0	6	1	5	5	1	2	1	1	1	1	1	1	1	2	1	1	4	0	1	1	1	1	3	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
mitterrand	3	3	4	3	3	78	37	3	3	3	10	46	7	3	3	5	3	3	5	3	0	10	3	3	3	0	3	3	5	3	3	6	0	4	8	6	6	6	6	2	3	6	6	2	5	3	3	2	2	2	3	2	6	2	3	12	0	2	2	3	2	7	0	2	2	2	3	2	2	2	2	2	0	2	3	3	3	3	0	0	3	3	0	3	3	3	0	3	4	3	3	3	3	3	3	4	4	6	0	3	6	4	4	4	3	3	3	3	3	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	0	3	6	3	3
foucher	1	1	2	1	1	41	24	1	1	1	5	20	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	0	1	1	1	3	5	2	1	1	1	2	1	5	1	2	12	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	3	2	2	2	2	3	3	3	5	5	0	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	2	0	2	4	2	2
jeanluc schaffhauser	2	2	2	2	2	33	16	2	2	2	5	21	3	2	2	2	2	2	2	1	0	4	2	2	2	0	2	2	2	2	2	4	0	2	4	5	5	5	5	6	1	0	5	1	2	1	1	1	1	1	1	1	2	1	1	4	0	1	1	1	1	3	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
roland dumas	2	2	2	2	2	33	16	2	2	2	5	21	3	2	2	2	2	2	2	1	0	4	2	2	2	0	2	2	2	2	2	4	0	2	4	5	5	5	5	6	1	5	0	1	2	1	1	1	1	1	1	1	2	1	1	4	0	1	1	1	1	3	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
raymond cartier	1	1	2	1	1	28	19	1	1	1	7	16	3	1	2	1	1	1	1	1	0	4	1	1	1	0	1	1	1	1	1	3	0	1	4	1	1	1	1	2	1	1	1	0	6	1	3	2	2	2	2	2	4	2	1	6	0	2	2	2	2	5	0	2	2	2	2	2	2	2	2	2	0	2	1	1	1	1	0	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1	1
bernard lugan	2	2	5	2	2	75	47	2	2	2	14	41	10	2	4	3	2	2	3	3	0	13	2	2	2	0	2	2	3	2	2	9	0	3	9	2	2	2	2	5	3	2	2	6	4	3	6	4	4	4	5	4	10	4	4	17	0	4	4	5	4	11	0	4	4	4	5	4	4	4	4	4	0	7	3	3	3	3	0	0	3	3	0	4	4	3	0	3	3	3	3	3	3	3	3	3	3	3	0	3	3	3	3	3	3	3	3	3	3	0	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	4	4	0	4	12	6	6
alqaeda	1	1	2	1	1	41	24	1	1	1	5	20	3	1	1	2	1	1	2	2	0	5	1	1	1	0	1	1	2	1	1	2	0	2	4	1	1	1	1	3	5	1	1	1	3	0	2	1	1	1	2	1	5	1	2	12	0	1	1	2	1	4	0	1	1	1	2	1	1	1	1	1	0	1	2	2	2	2	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	2	2	2	2	2	0	3	2	2	2	2	3	3	3	5	5	0	3	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	2	2	0	2	4	2	2
